screen_name,tweet,created_at
realDonaldTrump,"I’m sure I’ve left out many other things….but not a bad first term. 

Unlike John Kasich I believe we are on the right path with President Trump. The Biden-Harris path leads to socialism at home and weakness abroad.

Apparently, John Kasich doesn't understand that.",8/18/2020 3:02
realDonaldTrump,My view of what life was like after the Obama presidency is much different than that of @MichelleObama...,8/18/2020 3:02
realDonaldTrump,"I remember a slow-growth economy, a weakened military, ISIS raging, Iran emboldened, China eating our lunch, businesses struggling, and out-of-control illegal immigration.  Those are not the good old days to go back to.",8/18/2020 3:02
realDonaldTrump,A proposal by Pentagon officials to slash Military Healthcare by $2.2 billion dollars has been firmly and totally rejected by me. We will do nothing to hurt our great Military professionals &amp; heroes as long as I am your President. Thank you!,8/18/2020 2:30
realDonaldTrump,She was fired because she was boring and never had what it took. Perhaps that has proven to be a mistake! https://t.co/48ieqGcHt2,8/17/2020 23:45
realDonaldTrump,Why would @FoxNews put on phony Congresswoman @RepDebDingell. A total waste of airtime!,8/17/2020 23:37
realDonaldTrump,NEW RECORD FOR NASDAQ!,8/17/2020 20:50
realDonaldTrump,SAVE THE POST OFFICE!,8/17/2020 20:18
realDonaldTrump,"Why is Congress scheduled to meet (on Post Office) next Monday, during the Republican Convention, rather than now, while the Dems are having their Convention. They are always playing games. GET TOUGH REPUBLICANS!!!",8/17/2020 20:15
realDonaldTrump,Great division between the Bernie Sanders crowd and the other Radical Lefties. Our Country would be destroyed!,8/17/2020 20:07
realDonaldTrump,"Just landed in Mankato, Minnesota!",8/17/2020 18:37
realDonaldTrump,"Just approved (and fast) the FULL Emergency Declaration for the Great State of Iowa. They got hit hard by record setting winds. Thank you to @SenJoniErnst, @ChuckGrassley, and Governor Kim Reynolds.",8/17/2020 18:33
realDonaldTrump,What’s with @CNN POLLS increasing me by 10 points in a short period of time. Maybe they want to take over from @FoxNews!,8/17/2020 17:09
realDonaldTrump,Getting ready to land in Minneapolis. Our great National Guard saved the city from further destruction. Should have been called up sooner by local government!,8/17/2020 17:09
realDonaldTrump,"The U.S. Post Office (System) has been failing for many decades. We simply want to MAKE THE POST OFFICE GREAT AGAIN, while at the same time saving billions of dollars a year for American Taxpayers. Dems don’t have a clue! @USPostOffice911",8/17/2020 16:28
realDonaldTrump,"Some states use “drop boxes” for the collection of Universal Mail-In Ballots. So who is going to “collect” the Ballots, and what might be done to them prior to tabulation? A Rigged Election? So bad for our Country. Only Absentee Ballots acceptable!",8/17/2020 15:40
realDonaldTrump,Will be interviewed on @foxandfriends this morning at 8:00 A.M. Enjoy!,8/17/2020 11:25
realDonaldTrump,".@realDonaldTrump Boat Parade today in Clearwater, Florida!!!!!

<U+0001F1FA><U+0001F1F8><U+0001F1FA><U+0001F1F8><U+0001F1FA><U+0001F1F8> https://t.co/6eH36UPsL4",8/17/2020 1:31
realDonaldTrump,Kamala Harris reportedly owes $1M in bills from failed presidential run https://t.co/RE8Z6gzgQB https://t.co/Ea3ldU5FfG,8/17/2020 1:31
realDonaldTrump,Vote for TRUMP on November 3rd. I am going to bring our beloved New York back! https://t.co/Xi7yQ45jvy,8/17/2020 1:30
realDonaldTrump,"Durham probe: Ex-FBI lawyer to plead guilty in first criminal case arising from review, sources say | Fox News https://t.co/aHYtR4As19",8/17/2020 1:30
realDonaldTrump,This says it all. Our Mayor can play arts and crafts in front of Trump Tower but he can’t shine the Tribute Light Memorial at the World Trade Center in memory of 9/11 https://t.co/lufzfWl2RF,8/17/2020 1:30
realDonaldTrump,"Thank you James. Sadly, you are 100% correct!!! https://t.co/tk9k4SJxTa",8/17/2020 1:29
